Year,Temp,Precip,Snow
1970,1.615426997,819.7,280.9
1971,2.17260274,812.5,224
1972,0.895054945,708.7,149.2
1973,3.045879121,756.1,150.6
1974,1.711232877,683.4,204.6
1975,2.413424658,688.3,216.8
1976,1.993424658,494.8,166.5
1977,2.65441989,874.7,248.6
1978,1.726446281,632.7,152.4
1981,4.131780822,642.8,113.1
1982,1.843561644,709.4,125
1984,3.349315068,596.8,139.9
1985,1.485205479,829.8,190.1
1986,3.284931507,642.2,133.5
1987,5.191780822,493.5,101.2
1988,2.974655647,639.2,198.8
1989,1.824931507,563.1,183.8
1990,2.973972603,548.2,162.6
1991,3.26978022,796.1,191.6
1992,2.180547945,835,199.7
1993,2.040384615,628.1,119.9
1994,2.946575342,769.2,118.7
1997,2.880273973,619.7,161.3
1998,5.240659341,667.9,103.7
1999,4.182739726,799.2,169.8
2000,3.115384615,930.1,127.6
2001,4.284383562,970.6,167.3
2002,2.615342466,666.1,168.9
2003,3.122191781,572.8,121.7
2006,5.106027397,569.9,171.2
